Symbol,Name of company,Series,Date of listing,Face value
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1
GHCL,GHCL Limited,EQ,31-JUL-2003,10
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023,2
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1
GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10
GLS,Glenmark Life Sciences Limited,EQ,06-AUG-2021,2
GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2
GMRINFRA,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5
GNA,GNA Axles Limited,EQ,26-SEP-2016,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10
