Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.05,1263.15,D,9.47,-1275.81,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.1,1263.3,D,9.47,-1275.96,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,12,421.1,5053.2,D,37.9,-5103.95,Cash,12.85
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,5,421.15,2105.75,D,15.79,-2126.9,Cash,5.359999999999999
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,7,421.2,2948.4,D,22.11,-2978.0,Cash,7.49
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.2,1263.6,D,9.48,-1276.27,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.3,1263.9,D,9.48,-1276.57,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,12,421.3,5055.6,D,37.92,-5106.37,Cash,12.85
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,421.35,421.35,D,3.16,-425.56,Cash,1.05
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.35,1264.05,D,9.48,-1276.72,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.35,1264.05,D,9.48,-1276.72,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.35,1264.05,D,9.48,-1276.72,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,421.35,421.35,D,3.16,-425.56,Cash,1.05
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.35,1264.05,D,9.48,-1276.72,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,421.35,421.35,D,3.16,-425.56,Cash,1.05
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.35,1264.05,D,9.48,-1276.72,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,421.35,421.35,D,3.16,-425.56,Cash,1.05
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,421.35,1264.05,D,9.48,-1276.72,Cash,3.19
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,421.35,421.35,D,3.16,-425.56,Cash,1.05
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,11,421.35,4634.85,D,34.76,-4681.38,Cash,11.77
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,5,421.4,2107.0,D,15.8,-2128.16,Cash,5.359999999999999
24-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,100,79.8,7980.0,D,59.85,7901.04,Cash,19.11
24-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,294,79.75,23446.5,D,175.85,23214.57,Cash,56.08
24-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,36,79.75,2871.0,D,21.53,2842.6,Cash,6.87
24-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,126,79.75,10048.5,D,75.36,9949.11,Cash,24.03
24-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,444,79.75,35409.0,D,265.57,35058.74,Cash,84.69
25-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,401.75,4017.5,D,30.13,-4057.83,Cash,10.2
25-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,40,401.75,16070.0,D,120.53,-16231.38,Cash,40.85
28-Nov-22,NSE,N,WELSPUN LIVING LIMITED,S,654,80.6,52712.4,D,395.34,52191.0,Cash,126.06
