Unnamed: 0,Symbol,Series,Open,High,Low,Close,PrevClose,TotalTradedQty,TotalTradedValue,TotalTrades,DeliverableQty,DeliveryPercentage,Date
43,824GS2027,GS,103.5,103.5,103.5,103.5,104.0,1,0.0,1,1,100.00,28-Mar-2024
44,824GS2033,GS,109.6,109.6,109.6,109.6,107.0,728,0.8,1,728,100.00,28-Mar-2024
45,828GS2027,GS,103.98,103.98,103.98,103.98,103.99,1700,1.77,3,1700,100.00,28-Mar-2024
46,828GS2032,GS,109.0,109.0,109.0,109.0,108.0,2,0.0,2,2,100.00,28-Mar-2024
47,832GS2032,GS,108.0,108.0,108.0,108.0,107.55,16000,17.28,1,16000,100.00,28-Mar-2024
48,897GS2030,GS,113.5,113.5,113.5,113.5,112.75,3,0.0,3,3,100.00,28-Mar-2024
49,92GS2030,GS,116.9,116.9,116.9,116.9,117.39,1,0.0,1,1,100.00,28-Mar-2024
50,A2ZINFRA,BE,13.5,13.5,13.5,13.5,13.25,172952,23.35,85,-,-,28-Mar-2024
51,AAATECH,BE,84.25,84.25,81.25,81.9,83.5,25183,20.8,194,-,-,28-Mar-2024
52,AAKASH,BE,9.8,9.9,9.15,9.15,9.6,362324,33.42,793,-,-,28-Mar-2024
53,AAREYDRUGS,BE,44.2,45.85,43.2,43.65,44.0,22240,9.89,131,-,-,28-Mar-2024
